Season ID,Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IPL Team Key,player_id,Season Name
12741,JC Buttler,8,8,0,311,89,38.87,205,151.7,0,3,0,38,14,106,308967,2019
12741,RA Tripathi,8,7,1,141,50,23.5,118,119.49,0,1,0,13,2,106,446763,2019
13840,RA Jadeja,8,7,5,157,62*,78.5,114,137.71,0,1,0,12,6,102,234675,2021
13840,V Kohli,8,8,1,203,72*,29,167,121.55,0,1,0,22,4,100,253802,2021
13840,SK Raina,8,7,1,127,54,21.16,103,123.3,0,1,0,10,8,102,33335,2021
13840,RD Gaikwad,8,8,1,284,88*,40.57,210,135.23,0,3,0,34,9,102,1060380,2021
12741,SN Khan,8,5,1,180,67,45,143,125.87,0,1,0,19,4,101,642525,2019
13840,KL Rahul,8,8,2,380,91*,63.33,276,137.68,0,4,0,31,18,101,422108,2021
13840,SA Yadav,8,8,0,176,56,22,127,138.58,0,1,0,22,5,101,446507,2021
13840,RA Tripathi,8,7,0,187,53,26.71,138,135.5,0,1,0,21,4,101,446763,2021
13840,AD Russell,8,8,2,163,54,27.16,105,155.23,0,1,0,12,13,101,276298,2021
13840,KA Pollard,8,8,4,183,87*,45.75,112,163.39,0,1,0,12,14,101,230559,2021
13533,BA Stokes,8,8,1,285,107*,40.71,200,142.5,1,1,0,36,7,106,311158,2020
13840,RR Pant,9,9,3,248,58*,41.33,183,135.51,0,2,0,28,6,101,931581,2021
13840,PP Shaw,9,9,0,319,82,35.44,193,165.28,0,3,0,39,12,101,1070168,2021
12741,KS Williamson,9,9,2,156,70*,22.28,130,120,0,1,0,12,5,107,277906,2019
13840,S Dhawan,9,9,1,422,92,52.75,320,131.87,0,3,0,49,9,101,28235,2021
12741,DA Miller,10,10,2,213,59*,26.62,164,129.87,0,1,0,19,7,101,321777,2019
12741,MM Ali,11,10,2,220,66,27.5,133,165.41,0,2,0,16,17,100,8917,2019
13533,RA Tripathi,11,11,1,230,81,23,181,127.07,0,1,0,21,10,101,446763,2020
13533,SR Watson,11,11,1,299,83*,29.9,247,121.05,0,2,0,33,13,102,8180,2020
13533,MA Agarwal,11,11,0,424,106,38.54,271,156.45,1,2,0,44,15,101,398438,2020
12741,SPD Smith,12,10,2,319,73*,39.87,275,116,0,3,0,30,4,106,267192,2019
13533,AJ Finch,12,12,0,268,52,22.33,241,111.2,0,1,0,28,8,100,5334,2020
13533,KS Williamson,12,11,4,317,67,45.28,237,133.75,0,3,0,26,10,107,277906,2020
12741,MK Pandey,12,11,3,344,83*,43,263,130.79,0,3,0,34,6,107,290630,2019
12741,DA Warner,12,12,2,692,100*,69.2,481,143.86,1,8,0,57,21,107,219889,2019
12741,F du Plessis,12,12,1,396,96,36,321,123.36,0,3,0,36,15,102,44828,2019
13533,AT Rayudu,12,11,2,359,71,39.88,282,127.3,0,1,0,30,12,102,33141,2020
13533,JC Buttler,13,12,2,328,70*,32.8,227,144.49,0,2,0,27,16,106,308967,2020
12741,AB de Villiers,13,13,3,442,82*,44.2,287,154,0,5,0,31,26,100,44936,2019
12741,CH Gayle,13,13,1,490,99*,40.83,319,153.6,0,4,0,45,34,101,51880,2019
13533,KL Rahul,14,14,2,670,132*,55.83,518,129.34,1,5,0,58,23,101,422108,2020
13533,SPD Smith,14,14,2,311,69,25.91,237,131.22,0,3,0,32,9,106,267192,2020
12741,KL Rahul,14,14,3,593,100*,53.9,438,135.38,1,6,0,49,25,101,422108,2019
13533,RR Pant,14,14,3,343,56,31.18,301,113.95,0,1,0,31,9,101,931581,2020
13533,R Tewatia,14,11,5,255,53,42.5,183,139.34,0,1,0,13,17,106,423838,2020
13533,RA Jadeja,14,11,6,232,50,46.4,135,171.85,0,1,0,22,11,102,234675,2020
12741,V Kohli,14,14,0,464,100,33.14,328,141.46,1,2,0,46,13,100,253802,2019
13533,PJ Cummins,14,11,4,146,53*,20.85,114,128.07,0,1,0,9,8,101,489889,2020
13533,Shubman Gill,14,14,1,440,70*,33.84,373,117.96,0,3,0,44,9,101,1070173,2020
13533,EJG Morgan,14,14,4,418,68*,41.8,302,138.41,0,1,0,32,24,101,24598,2020
12741,Shubman Gill,14,13,4,296,76,32.88,238,124.36,0,3,0,21,10,101,1070173,2019
12741,KD Karthik,14,13,5,253,97*,31.62,173,146.24,0,2,0,22,14,101,30045,2019
12741,MS Dhoni,15,12,7,416,84*,83.2,309,134.62,0,3,0,22,23,102,28081,2019
13533,D Padikkal,15,15,0,473,74,31.53,379,124.8,0,5,0,51,8,100,1119026,2020
12741,RG Sharma,15,15,1,405,67,28.92,315,128.57,0,2,0,52,10,101,34102,2019
13533,V Kohli,15,15,4,466,90*,42.36,384,121.35,0,3,0,23,11,100,253802,2020
13533,MK Pandey,16,15,2,425,83*,32.69,333,127.62,0,3,0,35,18,107,290630,2020
13533,DA Warner,16,16,2,548,85*,39.14,407,134.64,0,4,0,52,14,107,219889,2020
12741,KA Pollard,16,14,6,279,83,34.87,178,156.74,0,1,0,14,22,101,230559,2019
12741,RR Pant,16,16,3,488,78*,37.53,300,162.66,0,3,0,37,27,101,931581,2019
12741,SS Iyer,16,16,1,463,67,30.86,386,119.94,0,3,0,41,14,101,642519,2019
12741,SA Yadav,16,15,2,424,71*,32.61,324,130.86,0,2,0,45,10,101,446507,2019
13533,SS Iyer,17,17,2,519,88*,34.6,421,123.27,0,3,0,40,16,101,642519,2020
13840,D Padikkal,7,7,1,217,101*,36.16,148,146.62,1,0,0,25,9,100,1119026,2021
13840,JC Buttler,7,7,0,254,124,36.28,166,153.01,1,0,0,27,13,106,308967,2021
13840,SV Samson,8,8,1,281,119,40.14,195,144.1,1,0,0,26,11,106,425943,2021
12741,SD Lad,1,1,0,15,15,15,13,115.38,0,0,0,1,1,101,422342,2019
13840,LS Livingstone,1,1,0,25,25,25,17,147.05,0,0,0,2,1,106,403902,2021
13840,E Lewis,1,1,0,36,36,36,21,171.42,0,0,0,7,1,106,431901,2021
13840,MK Lomror,1,1,0,43,43,43,17,252.94,0,0,0,2,4,106,853265,2021
13533,AJ Tye,1,1,0,6,6,6,6,100,0,0,0,0,1,106,459508,2020
13840,CA Lynn,1,1,0,49,49,49,35,140,0,0,0,4,3,101,326637,2021
13840,JO Holder,2,2,0,14,10,7,14,100,0,0,0,0,1,107,391485,2021
13533,K Gowtham,2,2,1,42,22*,42,27,155.55,0,0,0,3,2,101,424377,2020
13840,AF Milne,2,1,0,15,15,15,15,100,0,0,0,0,1,101,450860,2021
12741,M Vijay,2,2,0,64,38,32,61,104.91,0,0,0,6,1,102,237095,2019
13840,Mohammad Nabi,2,2,0,31,17,15.5,16,193.75,0,0,0,3,2,107,25913,2021
13533,MK Lomror,3,3,0,59,47,19.66,54,109.25,0,0,0,2,3,106,853265,2020
12741,E Lewis,3,3,0,48,32,16,52,92.3,0,0,0,4,2,101,431901,2019
13840,CJ Jordan,3,2,0,32,30,16,21,152.38,0,0,0,1,3,101,288992,2021
13840,Shakib Al Hasan,3,3,0,38,26,12.66,39,97.43,0,0,0,2,1,101,56143,2021
12741,BCJ Cutting,3,3,1,18,13*,9,17,105.88,0,0,0,1,1,101,230371,2019
13840,WP Saha,3,3,0,26,18,8.66,32,81.25,0,0,0,2,2,107,279810,2021
12741,MJ Guptill,3,3,0,81,36,27,53,152.83,0,0,0,4,7,107,226492,2019
13840,YBK Jaiswal,4,4,0,115,49,28.75,86,133.72,0,0,0,15,4,106,1151278,2021
13840,JD Unadkat,4,2,1,35,24,35,24,145.83,0,0,0,2,2,106,390484,2021
12741,MJ Santner,4,2,1,32,22,32,23,139.13,0,0,0,0,3,102,502714,2019
12741,C Munro,4,4,0,84,40,21,70,120,0,0,0,9,4,101,232359,2019
13840,M Vohra,4,4,0,42,14,10.5,39,107.69,0,0,0,5,2,106,532856,2021
12741,S Dube,4,4,1,40,24,13.33,33,121.21,0,0,0,1,3,100,714451,2019
